frame,id,x1,y1,x2,y2,conf,speed_kmh
0,1,1133,251,1279,511,0.8125278353691101,0.0
0,2,610,217,974,533,0.630626916885376,0.0
1,1,1131,249,1278,512,0.822077214717865,0.0
1,2,607,215,976,536,0.6562837958335876,0.0
2,1,1118,233,1272,506,0.8815085291862488,0.0
2,2,597,210,992,553,0.6995557546615601,0.0
3,1,1110,224,1268,503,0.88816899061203,0.0
3,2,591,208,995,559,0.7197725772857666,0.0
4,1,1105,219,1267,503,0.8378600478172302,0.0
4,2,589,207,995,561,0.6350443363189697,0.0
5,1,1100,215,1266,504,0.8432711958885193,0.0
5,2,587,208,993,561,0.7567717432975769,0.0
6,1,1095,214,1266,508,0.853229284286499,0.0
6,2,585,208,991,560,0.6609708070755005,0.0
7,1,1091,212,1265,509,0.8137915730476379,0.0
7,2,583,208,990,561,0.7171171307563782,0.0
8,1,1090,213,1263,503,0.8402069211006165,0.0
8,2,580,209,991,564,0.8005865216255188,0.0
9,1,1088,214,1262,501,0.8160995244979858,0.0
9,2,579,210,991,565,0.8289133310317993,0.0
10,1,1085,215,1262,503,0.8164467811584473,0.0
10,2,578,212,992,568,0.825962483882904,0.0
11,1,1080,217,1265,516,0.7836259603500366,0.0
11,2,576,213,993,571,0.7707021832466125,0.0
12,1,1072,217,1268,529,0.7899245023727417,0.0
12,2,574,213,994,574,0.7621745467185974,0.0
13,1,1070,218,1267,529,0.8292177319526672,0.0
13,2,572,213,996,577,0.7337848544120789,0.0
14,1,1061,216,1270,542,0.7290588617324829,0.0
14,2,570,212,996,576,0.77656090259552,0.0
15,1,1055,213,1271,550,0.7160145044326782,0.0
15,2,569,210,994,574,0.6764026284217834,0.0
16,1,1053,211,1273,552,0.6803516745567322,0.0
16,2,569,208,998,575,0.7708112001419067,0.0
17,1,1050,208,1274,553,0.6935433149337769,0.0
17,2,568,206,999,574,0.6607880592346191,0.0
18,1,1047,204,1275,555,0.6020684242248535,0.0
18,2,567,203,1000,572,0.6402822732925415,0.0
19,1,1044,201,1275,554,0.4810035824775696,0.0
19,2,565,200,1001,572,0.6650303602218628,0.0
20,1,1042,199,1274,553,0.6865761280059814,0.0
20,2,564,199,1001,570,0.7567341923713684,0.0
21,1,1040,196,1272,548,0.7609958648681641,0.0
21,2,562,196,998,567,0.7219505906105042,0.0
22,1,1039,196,1271,545,0.6553665995597839,0.0
22,2,561,196,998,568,0.6767734289169312,0.0
23,1,1038,196,1270,542,0.6762744784355164,0.0
23,2,559,195,998,568,0.7278536558151245,0.0
24,1,1037,199,1268,540,0.7989084124565125,0.0
24,2,558,196,1001,572,0.7305861711502075,0.0
25,1,1036,201,1268,539,0.8586260080337524,0.0
25,2,557,197,1002,574,0.7465089559555054,0.0
26,1,1034,203,1267,538,0.7964540719985962,0.0
26,2,558,197,1003,574,0.5705374479293823,0.0
27,1,1033,204,1266,535,0.8024600148200989,0.0
27,2,559,198,1003,573,0.6073921322822571,0.0
28,1,1031,206,1264,533,0.6484135389328003,0.0
28,2,558,198,1004,576,0.575635552406311,0.0
29,1,1029,209,1262,530,0.7856889367103577,0.0
29,2,556,200,1003,578,0.652961790561676,0.0
30,1,1028,211,1262,529,0.6882296800613403,0.0
30,2,554,200,1003,578,0.6336061954498291,0.0
31,1,1024,213,1260,527,0.805258572101593,0.0
31,2,551,201,1000,581,0.682759702205658,0.0
32,1,1023,216,1260,527,0.7166967391967773,0.0
32,2,550,203,1002,584,0.6318028569221497,0.0
33,1,1022,219,1259,524,0.7448853254318237,0.0
33,2,551,203,1003,586,0.5493103265762329,0.0
34,1,1020,220,1259,522,0.7208661437034607,0.0
34,2,550,204,1004,587,0.6894081234931946,0.0
35,1,1018,220,1258,518,0.6322258710861206,0.0
35,2,548,203,1003,587,0.6934413313865662,0.0
36,1,1017,219,1257,513,0.5524541139602661,0.0
36,2,548,203,1003,586,0.5494059324264526,0.0
37,1,1014,218,1258,511,0.58589106798172,0.0
37,2,546,201,1003,586,0.5989854335784912,0.0
38,1,1013,219,1258,507,0.6384860277175903,0.0
38,2,547,201,1002,584,0.7344174385070801,0.0
39,1,1012,219,1257,502,0.6738823652267456,0.0
39,2,546,200,1001,583,0.7171295285224915,0.0
40,1,1010,219,1258,501,0.7136828303337097,0.0
40,2,545,199,1002,583,0.7809723019599915,0.0
41,1,1008,219,1258,498,0.615779459476471,0.0
41,2,544,199,1002,583,0.6828626990318298,0.0
42,1,1008,220,1258,495,0.6640207171440125,0.0
42,2,544,198,1002,583,0.7322501540184021,0.0
43,1,1006,220,1258,492,0.6486071944236755,0.0
43,2,543,198,1002,583,0.7112538814544678,0.0
44,1,1005,219,1259,490,0.587890625,0.0
44,2,543,198,1002,583,0.7183218002319336,0.0
45,1,1002,221,1259,490,0.6459597945213318,0.0
45,2,542,197,1002,583,0.7023797631263733,0.0
46,1,1002,224,1258,487,0.619426965713501,0.0
46,2,543,199,1001,584,0.7305952310562134,0.0
47,1,1000,226,1258,487,0.604954719543457,0.0
47,2,543,199,1000,583,0.789993405342102,0.0
48,1,1000,228,1258,485,0.4656316936016083,0.0
48,2,543,200,1000,584,0.6779375076293945,0.0
49,2,543,201,999,584,0.7147836089134216,0.0
50,2,542,202,999,585,0.6699936985969543,0.0
51,2,543,202,998,584,0.7669050097465515,0.0
51,1,1001,233,1255,479,0.6997633576393127,0.0
52,2,543,203,998,585,0.7694956064224243,0.0
52,1,1000,235,1256,477,0.5596087574958801,0.0
53,2,542,202,998,585,0.7466931939125061,0.0
53,1,1000,236,1258,477,0.6489859223365784,0.0
54,2,542,202,998,585,0.7011175155639648,0.0
54,1,998,237,1259,476,0.5544824600219727,0.0
55,2,541,201,999,586,0.7298735976219177,0.0
55,1,995,237,1259,475,0.5070641040802002,0.0
56,2,542,202,996,584,0.7164590954780579,0.0
56,1,994,237,1260,472,0.6188123822212219,0.0
57,2,541,202,996,585,0.7494441270828247,0.0
57,1,993,238,1260,471,0.6351419687271118,0.0
58,2,541,203,996,586,0.7832384705543518,0.0
58,1,991,240,1259,470,0.7349985241889954,0.0
59,2,542,203,995,585,0.8322374224662781,0.0
59,1,991,242,1260,469,0.8165076971054077,0.0
60,2,542,203,994,585,0.7796473503112793,0.0
60,1,991,243,1260,467,0.8234893679618835,0.0
61,2,541,204,992,584,0.7658286094665527,0.0
61,1,990,243,1260,465,0.7641920447349548,0.0
62,2,542,204,991,583,0.781234622001648,0.0
62,1,990,245,1260,463,0.8170293569564819,0.0
63,2,542,205,989,582,0.7450268268585205,0.0
63,1,989,246,1260,461,0.7943402528762817,0.0
64,2,541,205,988,581,0.7335695028305054,0.0
64,1,988,247,1260,459,0.7961267828941345,0.0
65,2,539,205,988,583,0.7420176863670349,0.0
65,1,986,248,1259,458,0.8133819103240967,0.0
66,2,538,205,987,583,0.7527307868003845,0.0
66,1,983,247,1259,456,0.8244068026542664,0.0
67,2,539,205,987,583,0.7226742506027222,0.0
67,1,981,245,1261,455,0.8122373819351196,0.0
68,2,540,206,986,582,0.8450123071670532,0.0
68,1,977,246,1257,455,0.8363909125328064,0.0
69,2,539,205,985,581,0.7942845821380615,0.0
69,1,974,247,1254,454,0.8056816458702087,0.0
70,2,538,205,985,581,0.7081153988838196,0.0
70,1,973,249,1249,452,0.8117210865020752,0.0
71,2,538,205,984,581,0.7290704846382141,0.0
71,1,973,251,1245,450,0.8000862002372742,0.0
72,2,538,205,984,581,0.7010651230812073,0.0
72,1,971,252,1242,450,0.8008146286010742,0.0
73,2,538,204,984,579,0.7009322047233582,0.0
73,1,970,254,1238,448,0.8014700412750244,0.0
74,2,537,202,983,578,0.6109849214553833,0.0
74,1,969,254,1234,446,0.8286725878715515,0.0
75,2,536,201,984,579,0.540347158908844,0.0
75,1,968,254,1231,443,0.8145354986190796,0.0
76,2,536,201,983,578,0.707971453666687,0.0
76,1,966,254,1228,442,0.827632486820221,0.0
77,2,538,203,983,578,0.6736241579055786,0.0
77,1,963,254,1223,441,0.7792600393295288,0.0
78,2,538,201,984,578,0.717504620552063,0.0
78,1,964,254,1222,439,0.8234738707542419,0.0
79,2,538,200,984,577,0.6913588047027588,0.0
79,1,963,255,1217,437,0.7990145683288574,0.0
80,2,539,200,984,576,0.7821242809295654,0.0
80,1,962,255,1215,436,0.7894397974014282,0.0
81,2,539,200,984,576,0.793908953666687,0.0
81,1,959,255,1209,434,0.8355607390403748,0.0
82,2,541,201,982,575,0.7522929310798645,0.0
82,1,958,256,1205,434,0.8079676628112793,0.0
83,2,541,202,980,573,0.7354502081871033,0.0
83,1,956,256,1202,433,0.7381604909896851,0.0
84,2,542,203,980,574,0.6480048894882202,0.0
84,1,956,258,1197,430,0.5763640999794006,0.0
85,2,542,203,979,573,0.7661622762680054,0.0
85,1,955,259,1193,429,0.7457016110420227,0.0
86,2,542,204,979,574,0.7439472079277039,0.0
86,1,955,262,1189,429,0.8041617274284363,0.0
87,2,541,203,979,575,0.7069975137710571,0.0
87,1,954,262,1187,428,0.7479888200759888,0.0
88,2,541,203,980,575,0.7602295279502869,0.0
88,1,953,263,1184,428,0.8096970319747925,0.0
89,2,541,203,980,575,0.6392890810966492,0.0
89,1,952,264,1183,429,0.7342168092727661,0.0
90,2,541,203,981,576,0.6519385576248169,0.0
90,1,950,264,1179,428,0.7060528993606567,0.0
91,2,542,204,981,576,0.5521621704101562,0.0
91,1,949,266,1175,428,0.7065610885620117,0.0
92,2,543,204,982,576,0.6516597270965576,0.0
92,1,949,267,1173,428,0.6605502963066101,0.0
93,2,542,204,982,577,0.6276795864105225,0.0
93,1,947,268,1169,427,0.7292191386222839,0.0
94,2,542,204,981,577,0.6916548013687134,0.0
94,1,946,269,1164,426,0.7962154150009155,0.0
95,2,540,205,981,579,0.7131954431533813,0.0
95,1,946,271,1162,426,0.7635226249694824,0.0
96,2,540,205,982,580,0.7717603445053101,0.0
96,1,945,272,1158,425,0.7028456926345825,0.0
97,2,539,205,982,581,0.776210367679596,0.0
97,1,942,274,1155,427,0.6757060885429382,0.0
98,2,539,206,982,583,0.7946848273277283,0.0
98,1,940,274,1153,428,0.7135589122772217,0.0
99,2,538,207,982,585,0.7755568027496338,0.0
99,1,940,276,1151,429,0.7866911292076111,0.0
100,2,538,207,981,585,0.744684100151062,0.0
100,1,940,279,1148,430,0.7323281168937683,0.0
101,2,538,207,982,585,0.7445957064628601,0.0
101,1,941,280,1146,429,0.6935134530067444,0.0
102,2,539,207,983,586,0.7323720455169678,0.0
102,1,941,280,1145,429,0.7198178768157959,0.0
103,2,539,207,983,586,0.6872339248657227,0.0
103,1,942,281,1143,428,0.6472119092941284,0.0
104,2,539,207,984,587,0.6651057600975037,0.0
104,1,940,281,1139,428,0.5639291405677795,0.0
105,2,539,207,985,587,0.6433734893798828,0.0
105,1,941,282,1136,427,0.6475868225097656,0.0
106,2,538,207,984,586,0.4370073676109314,0.0
106,1,939,281,1133,425,0.6354078650474548,0.0
107,2,538,206,984,587,0.4977400302886963,0.0
107,1,939,281,1130,424,0.4067426025867462,0.0
108,2,538,206,984,585,0.6941317915916443,0.0
108,1,939,279,1130,423,0.4241901636123657,0.0
109,2,537,204,982,583,0.5595232248306274,0.0
109,1,936,276,1127,421,0.2642066180706024,0.0
110,2,535,200,983,581,0.5503022074699402,0.0
111,2,534,198,985,582,0.47073420882225037,0.0
112,2,534,196,985,580,0.4813143312931061,0.0
113,2,533,196,984,580,0.4836586117744446,0.0
114,2,534,196,984,579,0.539740264415741,0.0
115,2,533,196,984,580,0.4459664821624756,0.0
116,2,533,196,984,579,0.5064419507980347,0.0
117,2,534,196,983,578,0.6442408561706543,0.0
118,2,533,196,984,579,0.670045793056488,0.0
119,2,533,197,983,579,0.7101960778236389,0.0
120,2,533,198,983,579,0.7722569108009338,0.0
121,2,533,199,983,580,0.7591822147369385,0.0
122,2,533,201,982,582,0.7810152173042297,0.0
123,2,533,201,982,582,0.8018024563789368,0.0
124,2,532,202,981,582,0.7874429821968079,0.0
125,2,530,202,980,583,0.8345370888710022,0.0
126,2,528,202,978,583,0.8231147527694702,0.0
127,2,527,203,976,583,0.825265109539032,0.0
128,2,527,204,974,583,0.8171207308769226,0.0
129,2,526,205,973,584,0.8748724460601807,0.0
129,1,920,286,1071,409,0.5137564539909363,0.0
130,2,524,206,971,585,0.8423475027084351,0.0
131,2,523,208,968,585,0.8584954738616943,0.0
132,2,521,208,966,585,0.7994478344917297,0.0
133,2,522,209,965,585,0.8019500970840454,0.0
134,2,521,210,964,585,0.8750097155570984,0.0
135,2,520,210,962,585,0.8723136186599731,0.0
136,2,519,210,961,584,0.8584706783294678,0.0
137,2,518,210,960,584,0.7932256460189819,0.0
138,2,517,210,959,583,0.792346715927124,0.0
139,2,517,211,958,584,0.8058246970176697,0.0
140,2,516,211,957,584,0.8554826378822327,0.0
