track_id,acousticness,danceability,energy,instrumentalness,liveness,mel_path
2,0.4166752327,0.6758939853,0.6344762684,0.0106280683,0.1776465712,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/2.npy
5,0.0435668989,0.7455658702,0.7014699916,0.000696799,0.3731433124,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/5.npy
10,0.9516699648,0.6581786543,0.9245251615,0.9654270154,0.1154738842,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/10.npy
140,0.3763124975,0.7340790229,0.2656847734,0.6695811237,0.0859951222,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/140.npy
141,0.9636568796,0.435932998,0.0756321472,0.3454934909,0.1056858694,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/141.npy
190,0.9906294902,0.5007534567,0.3712297429,0.1028384438,0.2188101942,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/190.npy
193,0.9140388753,0.6406010435,0.1640712523,0.7605621934,0.2583990328,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/193.npy
194,0.9929059493,0.4947301766,0.2003375585,0.618086852,0.0864499383,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/194.npy
197,0.983585184,0.6026565649,0.0070436969,0.7917134418,0.0800219127,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/197.npy
200,0.9601916036,0.2159259286,0.2951264558,0.8029777144,0.1700761208,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/200.npy
203,0.9927647775,0.5889867604,0.1379182946,0.0873760557,0.0957687898,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/203.npy
204,0.9767540277,0.4134284125,0.2261673577,0.2648709939,0.1450636575,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/204.npy
207,0.9872581156,0.6337333928,0.0089874678,0.91008157,0.1079745759,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/207.npy
210,0.9895332895,0.4301895798,0.2270358594,0.5246838508,0.1058152942,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/210.npy
211,0.9911357831,0.6055538261,0.1730043357,0.8060266737,0.1652396741,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/211.npy
212,0.8440504744,0.6687378163,0.3569577601,0.0298648372,0.6185204718,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/212.npy
213,0.933741035,0.3127198225,0.3409990466,0.9192423237,0.0829758431,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/213.npy
255,0.9873281737,0.7035909913,0.4357120518,0.9017230301,0.1137581203,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/255.npy
256,0.4302465419,0.2620499343,0.9720856699,0.8966929619,0.4073435898,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/256.npy
368,0.6372758449,0.3129760859,0.1164692389,0.5407334524,0.1017832597,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/368.npy
534,0.9954284179,0.3114615442,0.1438200274,0.9195401144,0.1202089823,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/534.npy
540,0.9957162406,0.4485085105,0.148548727,0.9423216421,0.1162726601,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/540.npy
546,0.9956504513,0.5716136809,0.2128768901,0.9425357801,0.1128822634,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/546.npy
574,0.3049734899,0.0776074462,0.985285921,0.6842740657,0.3111749891,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/574.npy
602,0.9874326721,0.3208894632,0.0574058783,0.7858920004,0.0920788278,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/602.npy
620,0.8852881115,0.7879726403,0.2364810285,0.9077923919,0.1175990858,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/620.npy
621,0.9763283789,0.3374758924,0.3387460962,0.7089930973,0.1168317399,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/621.npy
625,0.984743848,0.3434473556,0.2938124533,0.0576944525,0.0964654294,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/625.npy
690,0.0403489418,0.2967392425,0.9564261719,0.9340780549,0.6100837294,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/690.npy
694,0.1458427055,0.4053453629,0.842615945,1.18e-08,0.0666304994,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/694.npy
695,0.3113244672,0.2916881798,0.8108574058,0.44010699,0.3621457004,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/695.npy
714,0.3654471625,0.2617475693,0.0723938509,0.8740612382,0.1313893741,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/714.npy
715,0.9688864623,0.1553403861,0.2123027599,0.9454553954,0.3451333806,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/715.npy
716,0.9850551899,0.1246810839,0.0263421742,0.9682346122,0.1039391422,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/716.npy
718,0.9604920231,0.3342395136,0.1038395016,0.0017117108,0.1322383258,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/718.npy
777,0.1286144952,0.644333109,0.4460819136,0.2665649572,0.1749126969,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/777.npy
814,0.9926913948,0.2908645125,0.1011084324,0.8967505241,0.1115529286,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/814.npy
821,0.4004944242,0.8625099361,0.2514695821,0.9089261368,0.3239905292,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/821.npy
822,0.6743564014,0.8704490089,0.2751175212,0.8860449362,0.1043789381,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/822.npy
825,0.9942135098,0.0850660337,0.9326844569,0.9718580224,0.1230686834,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/825.npy
853,0.9957009005,0.2129394543,0.3495002665,0.9709433459,0.2784205049,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/853.npy
993,0.0092722141,0.7035903369,0.6890474099,0.8078660414,0.0899693605,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/993.npy
1082,0.9957686039,0.4592608447,0.0081617746,0.9157699025,0.0995986856,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1082.npy
1087,0.0709493266,0.5846425808,0.814832734,0.9237026049,0.1124871845,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1087.npy
1102,0.1954238958,0.421607336,0.7028404521,0.8775190037,0.0632641788,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1102.npy
1193,0.97200265,0.618341117,0.2724071525,0.9302202926,0.1134020771,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1193.npy
1195,0.9475473118,0.2900942789,0.0480081846,0.9540022257,0.1109580309,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1195.npy
1196,0.6699166375,0.4225057127,0.4376794142,0.9230371963,0.1119775072,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1196.npy
1197,0.9915125141,0.4971504894,0.0548609959,0.9580220986,0.1048107813,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1197.npy
1270,0.9173272918,0.3082252501,0.8697368802,0.9233923878,0.2561366735,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1270.npy
1417,0.3302514701,0.3984823841,0.6587899561,0.8817097951,0.0970102556,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1417.npy
1482,0.348607252,0.7591561302,0.1767993915,0.931498558,0.0944225127,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1482.npy
1544,0.9947253812,0.0556561526,0.0013082887,0.9556414648,0.0958626042,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1544.npy
1642,0.2559826289,0.5874667165,0.8318449674,0.3753521676,0.1962471262,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1642.npy
1644,0.0333130099,0.3851337744,0.8541683591,2.885e-07,0.0955361335,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1644.npy
1649,0.083582515,0.3163704131,0.9593131578,0.9427657055,0.2262813754,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1649.npy
1661,0.6718321398,0.1577093409,0.9887654359,0.8725297921,0.2256527477,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1661.npy
1663,0.5728566874,0.3303012013,0.698041335,0.970438749,0.0926727049,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1663.npy
1666,0.7376420949,0.4414897598,0.5476449497,0.8838743234,0.0918357026,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1666.npy
1680,0.9874454052,0.4505183227,0.2507261544,0.9378934831,0.3433162077,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1680.npy
1681,0.9287891587,0.488449635,0.2928064883,0.0082155118,0.1013906606,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1681.npy
1682,0.9915719257,0.622491399,0.333366605,0.3500093053,0.0753415329,C:/Users/OZBERK/Desktop/traffic-music/music/fma/mels/1682.npy
